mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	I/mA	cycle number	I Range	P/W	
2	1	0	0	0	0.000000000000000E+000	-5.0356394E-001	-5.0391197E-001	3.5166420E-005	1.000000000000000E+000	13	-1.7720780E-008
2	1	0	1	0	9.999999747378752E-004	-5.0306380E-001	-5.0370210E-001	5.3458218E-004	1.000000000000000E+000	13	-2.6927017E-007
2	1	0	0	0	1.999999949475750E-003	-5.0246358E-001	-5.0305343E-001	5.5366813E-004	1.000000000000000E+000	13	-2.7852465E-007
2	1	0	1	0	2.999999924213625E-003	-5.0196338E-001	-5.0232840E-001	6.3955493E-004	1.000000000000000E+000	13	-3.2126661E-007
2	1	0	0	0	3.999999898951501E-003	-5.0136316E-001	-5.0190866E-001	6.3828257E-004	1.000000000000000E+000	13	-3.2035956E-007
2	1	0	1	0	4.999999873689376E-003	-5.0096303E-001	-5.0139350E-001	4.4615057E-004	1.000000000000000E+000	13	-2.2369700E-007
2	1	0	0	0	5.999999848427251E-003	-5.0046283E-001	-5.0084025E-001	6.7009247E-004	1.000000000000000E+000	13	-3.3560929E-007
2	1	0	1	0	6.999999823165126E-003	-5.0006270E-001	-5.0030601E-001	6.7772681E-004	1.000000000000000E+000	13	-3.3907079E-007
2	1	0	0	0	7.999999797903001E-003	-4.9976259E-001	-5.0022966E-001	3.9080138E-004	1.000000000000000E+000	13	-1.9549044E-007
2	1	0	1	0	8.999999772640876E-003	-4.9956250E-001	-4.9984810E-001	3.8062216E-004	1.000000000000000E+000	13	-1.9025326E-007
2	1	0	0	0	9.999999747378752E-003	-4.9936244E-001	-4.9986717E-001	3.6280861E-004	1.000000000000000E+000	13	-1.8135611E-007
2	1	0	1	0	1.099999972211663E-002	-4.9926239E-001	-4.9952376E-001	2.2442449E-005	1.000000000000000E+000	13	-1.1210536E-008
2	1	0	0	0	1.199999969685450E-002	-4.9926239E-001	-4.9961916E-001	1.0354678E-005	1.000000000000000E+000	13	-5.1733955E-009
2	1	0	1	0	1.299999967159238E-002	-4.9926239E-001	-4.9979088E-001	7.6519318E-005	1.000000000000000E+000	13	-3.8243655E-008
2	0	0	0	0	1.399999964633025E-002	-4.9936244E-001	-4.9986717E-001	-5.3901364E-005	1.000000000000000E+000	13	2.6943523E-008
2	0	0	1	0	1.499999962106813E-002	-4.9956250E-001	-4.9992442E-001	-3.4655264E-004	1.000000000000000E+000	13	1.7325013E-007
2	0	0	0	0	1.599999959580600E-002	-4.9986261E-001	-5.0032508E-001	-3.7772633E-004	1.000000000000000E+000	13	1.8898596E-007
2	0	0	1	0	1.699999957054388E-002	-5.0026274E-001	-5.0049680E-001	-4.6806654E-004	1.000000000000000E+000	13	2.3426581E-007
2	0	0	0	0	1.799999954528175E-002	-5.0066292E-001	-5.0116456E-001	-6.3665910E-004	1.000000000000000E+000	13	3.1907098E-007
2	0	0	1	0	1.899999952001963E-002	-5.0116307E-001	-5.0148892E-001	-5.9975957E-004	1.000000000000000E+000	13	3.0077280E-007
2	0	0	0	0	1.999999949475750E-002	-5.0166327E-001	-5.0211853E-001	-6.7355856E-004	1.000000000000000E+000	13	3.3820623E-007
2	0	0	1	0	2.099999946949538E-002	-5.0226349E-001	-5.0261462E-001	-9.8465965E-004	1.000000000000000E+000	13	4.9490433E-007
2	0	0	0	0	2.199999944423325E-002	-5.0286371E-001	-5.0343502E-001	-7.2699931E-004	1.000000000000000E+000	13	3.6599690E-007
