mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	P/W	
2	1	0	0	0	0.000000000000000E+000	-5.6370759E-001	-5.6434536E-001	5.901288659515558E-006	1.000000000000000E+000	0.0000000E+000	13	-3.3303649E-009
2	0	0	1	0	1.299999967159238E-003	-5.6423980E-001	-5.6470376E-001	-5.225627341887557E-004	1.000000000000000E+000	-6.4245947E-010	13	2.9509314E-007
2	0	0	1	0	3.899999901477713E-003	-5.6527656E-001	-5.6574178E-001	-5.685859521287820E-004	1.000000000000000E+000	-2.0900544E-009	13	3.2167281E-007
2	0	0	1	0	6.299999840848614E-003	-5.6624055E-001	-5.6677294E-001	-6.088398947977948E-004	1.000000000000000E+000	-3.4618495E-009	13	3.4507397E-007
2	0	0	1	0	8.899999775167089E-003	-5.6727725E-001	-5.6777030E-001	-6.048925908689034E-004	1.000000000000000E+000	-5.0459090E-009	13	3.4344004E-007
2	0	0	1	0	1.129999971453799E-002	-5.6824130E-001	-5.6874079E-001	-6.340709457710787E-004	1.000000000000000E+000	-6.4894672E-009	13	3.6062201E-007
2	0	0	1	0	1.389999964885646E-002	-5.6927800E-001	-5.6977534E-001	-6.346492976738514E-004	1.000000000000000E+000	-8.1226412E-009	13	3.6160753E-007
2	0	0	1	0	1.629999958822737E-002	-5.7024199E-001	-5.7068688E-001	-6.672400627652742E-004	1.000000000000000E+000	-9.6477599E-009	13	3.8078514E-007
2	0	0	1	0	1.889999952254584E-002	-5.7127875E-001	-5.7174313E-001	-6.467515687466584E-004	1.000000000000000E+000	-1.1365485E-008	13	3.6977576E-007
2	0	0	1	0	2.129999946191674E-002	-5.7224274E-001	-5.7274997E-001	-6.779831404783564E-004	1.000000000000000E+000	-1.2924513E-008	13	3.8831482E-007
2	0	0	1	0	2.389999939623522E-002	-5.7327950E-001	-5.7377076E-001	-6.673267933479105E-004	1.000000000000000E+000	-1.4667877E-008	13	3.8289261E-007
2	0	0	1	0	2.629999933560612E-002	-5.7424349E-001	-5.7468653E-001	-6.868609942061579E-004	1.000000000000000E+000	-1.6252224E-008	13	3.9472977E-007
2	0	0	1	0	2.889999926992459E-002	-5.7528019E-001	-5.7572985E-001	-6.707680508074281E-004	1.000000000000000E+000	-1.8010857E-008	13	3.8618120E-007
